Form,Lemma,Definition
dī,"deus, deī, {m.}","gods (nom pl, alternative for deī)"
it,"eō, īre, īvī / iī, itum",he/she/it goes (3rd sg present)
ī,"eō, īre, īvī / iī, itum",go! (2nd sg imperative)
īte,"eō, īre, īvī / iī, itum",go! (2nd pl imperative)
iit,"eō, īre, īvī / iī, itum",he/she/it went (3rd sg perfect)
ībit,"eō, īre, īvī / iī, itum",he/she/it will go (3rd sg future)
ībis,"eō, īre, īvī / iī, itum",you will go (2nd sg future)
ībimus,"eō, īre, īvī / iī, itum",we shall go (1st pl future)
īsset,"eō, īre, īvī / iī, itum","had gone (3rd sg pluperfect subjunctive, shortened from īvisset)"
eat,"eō, īre, īvī / iī, itum",may go / let him go (3rd sg present subjunctive)
eundō,"eō, īre, īvī / iī, itum","by going (gerund, ablative)"
fātur,"for, fārī, fātus sum",he/she speaks (3rd sg present)
fābor,"for, fārī, fātus sum",I shall speak (1st sg future)
fandō,"for, fārī, fātus sum","in the speaking / by report (gerund, ablative)"
haec,"hic, haec, hoc",this (feminine nom / neuter pl)
hoc,"hic, haec, hoc",this (neuter nom/acc)
huic,"hic, haec, hoc",to/for this
hunc,"hic, haec, hoc",this (masculine acc)
hanc,"hic, haec, hoc",this (feminine acc)
hōc,"hic, haec, hoc",by/with/from this (masc/neut abl)
hāc,"hic, haec, hoc",by/with/from this (feminine abl)
hārum,"hic, haec, hoc",of these (feminine gen)
hōs,"hic, haec, hoc",these (masculine acc)
hās,"hic, haec, hoc",these (feminine acc)
hīs,"hic, haec, hoc",to/for/by/with/from these (dat/abl)
eundem,"īdem, eadem, idem",the same (masc acc)
eandem,"īdem, eadem, idem",the same (fem acc)
eōdem,"īdem, eadem, idem",by/with/from the same (masc/neut abl)
eādem,"īdem, eadem, idem",by/with/from the same (fem abl)
īsdem,"īdem, eadem, idem","from/to the same (dat/abl pl, shortened from eīsdem)"
eī,"is, ea, id",to/for him/her/it/that (dat) OR they (masc nom pl)
eam,"is, ea, id",her / that (fem acc)
eō,"is, ea, id",by/with/from him/it/that (masc/neut abl)
eōs,"is, ea, id",them / those (masc acc pl)
ōra,"ōs, ōris, {n.}","mouths / faces (nom/acc pl) — not ōra, ōrae 'shore'"
ōre,"ōs, ōris, {n.}",with/from the mouth (ablative sg)
cuius,"quī, quae, quod",whose / of whom / of which
cui,"quī, quae, quod",to/for whom / to/for which
quem,"quī, quae, quod",whom / which (masc acc)
quam,"quī, quae, quod",whom / which (fem acc)
quō,"quī, quae, quod",by/with/from whom/which (masc/neut abl)
quā,"quī, quae, quod",by/with/from whom/which (fem abl)
quōrum,"quī, quae, quod",whose / of whom/which (masc/neut gen pl)
quibus,"quī, quae, quod",to/for/by/with/from whom/which (dat/abl)
quōs,"quī, quae, quod",whom / which (masc acc pl)
quās,"quī, quae, quod",whom / which (fem acc pl)
quīque,"quī, quae, quod",and who / and which (quī + -que)
quaeque,"quī, quae, quod",and which / and the things which (quae + -que)
quōque,"quī, quae, quod",and with which; and the more (quō + -que) -- the long ō is the tell: the adverb quoque 'also' has a short o
cuius,"quis, quid",whose? / of whom? / of what?
cui,"quis, quid",to/for whom? / to/for what?
quem,"quis, quid",whom? (masc/fem acc)
quō,"quis, quid",by/with/from whom/what? (ablative)
rē,"rēs, reī, {f.}",by/with/from a thing (abl sg)
rērum,"rēs, reī, {f.}",of things / matters (gen pl)
sum,"sum, esse, fuī, futūrum",I am
es,"sum, esse, fuī, futūrum",you are
est,"sum, esse, fuī, futūrum",he/she/it is
sumus,"sum, esse, fuī, futūrum",we are
sunt,"sum, esse, fuī, futūrum",they are
erās,"sum, esse, fuī, futūrum",you were
erat,"sum, esse, fuī, futūrum",he/she/it was
erant,"sum, esse, fuī, futūrum",they were
erō,"sum, esse, fuī, futūrum",I will be
eris,"sum, esse, fuī, futūrum",you will be
erit,"sum, esse, fuī, futūrum",he/she/it will be
fuī,"sum, esse, fuī, futūrum",I have been / I was
fuistī,"sum, esse, fuī, futūrum",you have been / you were
fuit,"sum, esse, fuī, futūrum",he/she/it has been / was
fuerat,"sum, esse, fuī, futūrum",he/she/it had been
fuerant,"sum, esse, fuī, futūrum",they had been
sim,"sum, esse, fuī, futūrum",I may be (pres subj)
sīs,"sum, esse, fuī, futūrum",you may be (pres subj)
sit,"sum, esse, fuī, futūrum",he/she/it may be (pres subj)
sint,"sum, esse, fuī, futūrum",they may be (pres subj)
essēs,"sum, esse, fuī, futūrum",you might be (impf subj)
fuissem,"sum, esse, fuī, futūrum",I might have been (plupf subj)
fuisset,"sum, esse, fuī, futūrum",he/she/it might have been (plupf subj)
esse,"sum, esse, fuī, futūrum",to be
fore,"sum, esse, fuī, futūrum",to be about to be (fut infin)
futūrus,"sum, esse, fuī, futūrum",about to be
vī,"vīs, vīs, {f.}",by force / by violence (ablative sg)
vīrēs,"vīs, vīs, {f.}","strength (nom/acc pl — the plural takes a different stem, vīr-)"
vīrīs,"vīs, vīs, {f.}","strength (acc pl, alternative for vīrēs)"
vīribus,"vīs, vīs, {f.}",with/by strength (dat/abl pl)
voluēre,"volō, velle, voluī",they have wanted / wanted
velim,"volō, velle, voluī",I may want (pres subj)
velīs,"volō, velle, voluī",you may want (pres subj)
vellem,"volō, velle, voluī",I might want (impf subj)
vellet,"volō, velle, voluī",he/she/it might want (impf subj)
