Latin Word,English Definition(s),Frequency,Part of Speech,Sense Heading,Senses,Core Sense
ā,ah,0,Interjection,,ah,1
ab,(away) from; by {(with a passive verb)},21,Preposition,,(away) from ‖ by {(with a passive verb)},1
abhinc,ago,0,Adverb,,ago,1
"abhorreō, abhorrēre, abhorruī",to shrink from; to be averse to,0,Verb,,to shrink from ‖ to be averse to,1
"accūsō, accūsāre, accūsāvī, accūsātum",to accuse,0,Verb,,to accuse,1
ācriter,fiercely,0,Adverb,,fiercely,1
ad,"to {(of motion, with accusative)}; for {(of purpose)}; by {(of a deadline, *diem*)}; until {(of time, with *ūsque*)}",14,Preposition,,"to {(of motion, with accusative)} ‖ for {(of purpose)} ‖ by {(of a deadline, *diem*)} ‖ until {(of time, with *ūsque*)}",1
"adeō, adīre, adiī / adīvī, aditum",to approach,595,Verb,,to approach,1
adhūc,still,379,Adverb,,still,1
"adiuvō, adiuvāre, adiūvī, adiūtum",to help,0,Verb,,to help,1
"administrō, administrāre, administrāvī, administrātum","to manage, administer",0,Verb,,"to manage, administer",1
"admittō, admittere, admīsī, admissum",to let in,0,Verb,,to let in,1
adversus,against,460,Preposition,,against,1
"adulēscēns, adulēscentis, {m.}",young man,0,Noun,,young man,1
"aedificō, aedificāre, aedificāvī, aedificātus",to build,0,Verb,,to build,1
"āēr, āeris, {m.}",air,845,Noun,,air,1
"aeternus, aeterna, aeternum",eternal,734,Adjective,,eternal,1
"affectus, affecta, affectum","affected, overcome",0,Adjective,,"affected, overcome",1
"afferō, afferre, attulī, allātum",to bring,514,Verb,,to bring,1
"ager, agrī, {m.}",field,324,Noun,,field,1
"agō, agere, ēgī, āctum",do; drive; act,69,Verb,,do ‖ drive ‖ act,1
aiō,to say,406,Verb,,to say,1
alacriter,eagerly,0,Adverb,,eagerly,1
"albus, alba, album",white,925,Adjective,,white,1
"aliquis, aliquid","someone, something",77,Pronoun,,"someone, something",1
"alius, alia, aliud","another, other",37,Adjective,,"another, other",1
"alter, altera, alterum",the other; a second,148,Adjective,,the other ‖ a second,1
"amīca, amīcae, {f.}",friend,0,Noun,,friend,1
"amīcus, amīca, amīcum",friendly; friend,198,Adjective,,friendly ‖ friend,1
"amō, amāre, amāvī, amātum",to love,219,Verb,,to love,1
"amor, amōris, {m.}",love,116,Noun,,love,1
"āmoveō, āmovēre, āmōvī, āmōtum",to remove,0,Verb,,to remove,1
an,or,94,Conjunction,,or,1
"animal, animālis, {n.}",animal,547,Noun,,animal,1
"animus, animī, {m.}",mind; heart,40,Noun,,mind ‖ heart,1
"annus, annī, {m.}",year,167,Noun,,year,1
"annuus, annua, annuum","yearly, lasting a year",0,Adjective,,"yearly, lasting a year",1
"antīquus, antīqua, antīquum",ancient,617,Adjective,,ancient,1
"aperiō, aperīre, aperuī, apertum",to open,837,Verb,,to open,1
"apertus, aperta, apertum",open,0,Adjective,,open,1
"aptus, apta, aptum","suitable, fitting, appropriate",916,Adjective,,"suitable, fitting, appropriate",1
apud,at the house of (=French chez); among {(of a people or group)},205,Preposition,,at the house of (=French chez) ‖ among {(of a people or group)},1
"aqua, aquae, {f.}",water,272,Noun,,water,1
"arma, armōrum, {n. pl.}",weapons,98,Noun,,weapons,1
"as, assis, {m.}",as {a Roman bronze coin},0,Noun,,as {a Roman bronze coin},1
"ascendō, ascendere, ascendī, ascēnsum",climb,990,Verb,,climb,1
at,but,74,Conjunction,,but,1
atque,and,35,Conjunction,,and,1
"audāx, {(gen.)} audācis",bold,876,Adjective,,bold,1
"audiō, audīre, audīvī, audītum",to hear; to heed,165,Verb,,to hear ‖ to heed,1
"avis, avis, {f.}",bird,855,Noun,,bird,1
aut,or,24,Conjunction,,or,1
autem,however,123,Conjunction,,however,1
"auxilium, auxiliī, {n.}",help,543,Noun,,help,1
babae,Wow!,0,Interjection,,Wow!,1
"bellum, bellī, {n.}",war,86,Noun,,war,1
"bibō, bibere, bibī",to drink,0,Verb,,to drink,1
"bonus, bona, bonum",good,68,Adjective,,good,1
"Brūtus, Brūtī, {m.}","one of the two Roman leaders, father of Iūnia",0,Noun,,"one of the two Roman leaders, father of Iūnia",1
"cadō, cadere, cecidī, cāsum",to fall,210,Verb,,to fall,1
"caelum, caelī, {n.}",sky; heaven,117,Noun,,sky ‖ heaven,1
"Camilla, Camillae, {f.}",an Italian warrior princess,0,Noun,,an Italian warrior princess,1
"candidus, candida, candidum",shiny bright white,692,Adjective,,shiny bright white,1
"canis, canis, {m./f.}",dog,687,Noun,,dog,1
"capiō, capere, cēpī, captum","take; to form {(of a plan, *cōnsilium capere*)}",131,Verb,,"take ‖ to form {(of a plan, *cōnsilium capere*)}",1
"captīvus, captīva, captīvum",captive,0,"Noun, Adjective",,captive,1
"caput, capitis, {n.}",head,124,Noun,,head,1
"carcer, carceris, {m.}",prison,0,Noun,,prison,1
"carmen, carminis, {n.}",song; {(in the plural)} music; poem,254,Noun,,song ‖ {(in the plural)} music ‖ poem,1
"castra, castrōrum, {n. pl.}",military camp,0,Noun,,military camp,1
"cautus, cauta, cautum",cautious,0,Adjective,,cautious,1
"celer, celeris, celere",swift,745,Adjective,,swift,1
celeriter,quickly,967,Adverb,,quickly,1
centum,hundred,730,Numeral,,hundred,1
"centuria, centuriae, {f.}","century {a unit of the army; in the *Comitia Centuriāta*, a unit of voters with one vote}",0,Noun,,"century {a unit of the army; in the *Comitia Centuriāta*, a unit of voters with one vote}",1
"centuriātus, centuriāta, centuriātum","arranged by centuries {as in *Comitia Centuriāta*, the assembly in which the people voted by centuries}",0,Adjective,,"arranged by centuries {as in *Comitia Centuriāta*, the assembly in which the people voted by centuries}",1
"certō, certāre, certāvī, certātum",compete,864,Verb,,compete,1
"certus, certa, certum","certain, sure; {(adverb, *certē*)} certainly",285,Adjective,,"certain, sure ‖ {(adverb, *certē*)} certainly",1
"cibus, cibī, {m.}",food,863,Noun,,food,1
"cīvīlis, cīvīle",civil,0,Adjective,,civil,1
"cīvis, cīvis, {m./f.}",citizen,471,Noun,,citizen,1
"cīvitās, cīvitātis, {f.}","state, citizenship",346,Noun,,"state, citizenship",1
clam,secretly,0,Adverb,,secretly,1
"clāmō, clāmāre, clāmāvī, clāmātum",to shout,0,Verb,,to shout,1
"clārus, clāra, clārum",clear; bright,395,Adjective,,clear ‖ bright,1
"classis, classis, {f.}",class {a division of the citizens by wealth},505,Noun,,class {a division of the citizens by wealth},1
"claudō, claudere, clausī, clausum",to close,392,Verb,,to close,1
"coetus, coetūs, {m.}",gathering,0,Noun,,gathering,1
"Collātīnus, Collātīnī, {m.}","one of the two Roman leaders, husband of Lucrētia",0,Noun,,"one of the two Roman leaders, husband of Lucrētia",1
"colō, colere, coluī, cultum",to cultivate,333,Verb,,to cultivate,1
"color, colōris, {m.}",color,725,Noun,,color,1
"comitia, comitiōrum, {n. pl.}",assembly {(where Romans elected their magistrates)},0,Noun,,assembly {(where Romans elected their magistrates)},1
"concēdō, concēdere, concessī, concessum",to yield; to grant,663,Verb,,to yield ‖ to grant,1
"concordia, concordiae, {f.}","concord, harmony",0,Noun,,"concord, harmony",1
"condō, condere, condidī, conditum","to put away; to found {(of a city, *urbem*)}",540,Verb,,"to put away ‖ to found {(of a city, *urbem*)}",1
"coniūnx, coniugis, {m./f.}",spouse,218,Noun,,spouse,1
"cōnsilium, cōnsiliī, {n.}",plan,217,Noun,,plan,1
"cōnsul, cōnsulis, {m.}","consul {(one of the two chief officials of Rome, elected for one year)}",321,Noun,,"consul {(one of the two chief officials of Rome, elected for one year)}",1
"cōnsūmō, cōnsūmere, cōnsūmpsī, cōnsūmptum","to use up; to burn up {(of fire, *ignēs*)}",869,Verb,,"to use up ‖ to burn up {(of fire, *ignēs*)}",1
contrā,opposite; against,271,"Adverb, Preposition",,opposite ‖ against,1
"convīvium, convīviī, {n.}",banquet,921,Noun,,banquet,1
"cōpia, cōpiae, {f.}",amount; plenty,331,Noun,,amount ‖ plenty,1
"Coriolānus, Coriolānī, {m.}",Coriolanus {(a Roman noble who led the Volscians against Rome)},0,Noun,,Coriolanus {(a Roman noble who led the Volscians against Rome)},1
"cornū, cornūs, {n.}",horn,591,Noun,,horn,1
"corpus, corporis, {n.}",body,75,Noun,,body,1
cotīdiē,every day,0,Adverb,,every day,1
"crēdō, crēdere, crēdidī, crēditum",to believe,109,Verb,,to believe,1
"creō, creāre, creāvī, creātum",to create; to elect {(of magistrates)},978,Verb,,to create ‖ to elect {(of magistrates)},1
"crēscō, crēscere, crēvī, crētum",to grow,609,Verb,,to grow,1
"crūdēlis, crūdēle",cruel,0,Adjective,,cruel,1
"culīna, culīnae, {f.}",kitchen,0,Noun,,kitchen,1
"cultūra, cultūrae, {f.}","cultivation, tilling",0,Noun,,"cultivation, tilling",1
cum,with {(preposition with ablative)},10,Preposition,,with {(preposition with ablative)},1
cum (quum),"when; although {(often followed by *tamen*)}; [[*cum prīmum* ""when first"" → ""as soon as""]]",10,Conjunction,,"when ‖ although {(often followed by *tamen*)} ‖ [[*cum prīmum* ""when first"" → ""as soon as""]]",1
"cupiō, cupere, cupīvī, cupītum",to desire,441,Verb,,to desire,1
cūr,why,404,Adverb,,why,1
"cūrō, cūrāre, cūrāvī, cūrātum",to take care of,743,Verb,,to take care of,1
"currō, currere, cucurrī, cursum",to run,562,Verb,,to run,1
"custōs, custōdis, {m./f.}",guard,622,Noun,,guard,1
dē,down from; about,46,Preposition,,down from ‖ about,1
"dea, deae, {f.}",goddess,42,Noun,,goddess,1
"dēbeō, dēbēre, dēbuī, dēbitum",to owe; ought {(with infinitive)},155,Verb,,to owe ‖ ought {(with infinitive)},1
decem,ten,914,Numeral,,ten,1
"dēfendō, dēfendere, dēfendī, dēfēnsus",to defend,653,Verb,,to defend,1
dehinc,then; from now on,0,Adverb,,then ‖ from now on,1
deinde,then,150,Adverb,,then,1
"dēscendō, dēscendere, dēscendī, dēscēnsum",descend,802,Verb,,descend,1
